Age,Family_Size,Location,Monthly_Income_INR,Current_Brand,Replacement_Frequency,Primary_Channel,Willing_to_Pay_Premium,Japanese_Brand_Bias
23,2,Western Suburbs,105000,Palmolive,Monthly,Large Supermarket,Yes,4
29,2,South Mumbai,210000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,4
31,3,Eastern Suburbs,110000,Palmolive,Every 2 Weeks,Local Kirana,Yes,3
37,2,Eastern Suburbs,65000,Local/Other,Quarterly,Hypermarket (D-Mart),Maybe,3
29,2,South Mumbai,250000,Palmolive,Quarterly,Online (Blinkit/BigBasket),Yes,5
38,4,Navi Mumbai,70000,Local/Other,Weekly,Hypermarket (D-Mart),No,2
44,2,Thane,60000,Lifebuoy,Monthly,Local Kirana,Maybe,3
21,4,Navi Mumbai,70000,Savlon,Weekly,Local Kirana,No,3
42,4,Navi Mumbai,115000,Dettol,Weekly,Local Kirana,Maybe,4
19,1,Thane,65000,Lifebuoy,Monthly,Hypermarket (D-Mart),No,4
39,4,Eastern Suburbs,120000,Palmolive,Weekly,Local Kirana,Yes,3
31,2,Eastern Suburbs,60000,Dettol,Monthly,Local Kirana,No,3
52,2,Western Suburbs,110000,Dettol,Every 2 Weeks,Organic Store,No,3
38,2,Eastern Suburbs,170000,Dove,Monthly,Online,Yes,4
33,3,Western Suburbs,280000,Dettol,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
31,3,Western Suburbs,330000,Palmolive,Monthly,Large Supermarket,Yes,4
35,3,Western Suburbs,160000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,3
41,2,South Mumbai,170000,Dove,Quarterly,Online (Blinkit/BigBasket),Yes,4
27,4,Navi Mumbai,85000,Godrej Protekt,Weekly,Hypermarket (D-Mart),No,4
30,2,South Mumbai,125000,Savlon,Monthly,Online (Blinkit/BigBasket),No,5
24,4,Western Suburbs,175000,Other/Organic,Weekly,Online (Blinkit/BigBasket),Yes,5
32,4,Western Suburbs,280000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,5
38,3,Western Suburbs,170000,Godrej Protekt,Monthly,Organic Store,Yes,5
28,2,Navi Mumbai,130000,Godrej Protekt,Every 2 Weeks,Local Kirana,Yes,5
56,4,Navi Mumbai,75000,Santoor,Weekly,Local Kirana,Maybe,3
46,4,Navi Mumbai,100000,Dettol,Weekly,Local Kirana,Maybe,3
35,5,Western Suburbs,225000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
20,4,Eastern Suburbs,95000,Dettol,Weekly,Hypermarket (D-Mart),Maybe,3
34,6,Thane,115000,Palmolive,Weekly,Local Kirana,Yes,4
31,2,Western Suburbs,210000,Other/Organic,Monthly,Large Supermarket,Yes,5
36,5,South Mumbai,320000,Godrej Protekt,Weekly,Large Supermarket,Yes,3
45,4,Western Suburbs,295000,Other/Organic,Weekly,Online (Blinkit/BigBasket),Yes,4
42,4,Eastern Suburbs,150000,Palmolive,Weekly,Local Kirana,Yes,5
37,1,Western Suburbs,190000,Dove,Every 2 Weeks,Large Supermarket,Yes,3
26,3,South Mumbai,335000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,4
62,4,South Mumbai,315000,Other/Organic,Weekly,Online (Blinkit/BigBasket),Yes,5
28,3,Western Suburbs,110000,Dettol,Quarterly,Organic Store,No,4
32,2,Western Suburbs,210000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Yes,4
40,4,Thane,75000,Lifebuoy,Weekly,Local Kirana,No,4
33,2,South Mumbai,250000,Dove,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
52,1,Western Suburbs,175000,Godrej Protekt,Monthly,Organic Store,Yes,5
33,4,Navi Mumbai,135000,Savlon,Weekly,Local Kirana,Yes,5
59,5,Eastern Suburbs,100000,Lifebuoy,Weekly,Online,Maybe,2
39,1,South Mumbai,210000,Dettol,Every 2 Weeks,Organic Store,Yes,4
39,4,Western Suburbs,300000,Godrej Protekt,Weekly,Organic Store,Yes,4
42,4,Western Suburbs,370000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
42,4,Navi Mumbai,90000,Palmolive,Weekly,Hypermarket (D-Mart),Yes,3
36,4,South Mumbai,210000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,5
39,6,South Mumbai,270000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,4
49,4,Western Suburbs,270000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,3
36,3,Eastern Suburbs,170000,Dove,Every 2 Weeks,Local Kirana,Yes,4
26,2,Navi Mumbai,110000,Dettol,Monthly,Hypermarket (D-Mart),Maybe,4
48,5,South Mumbai,460000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
39,3,South Mumbai,395000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,5
39,4,Eastern Suburbs,125000,Lifebuoy,Weekly,Local Kirana,Maybe,3
